ISRN_KIND_DTCD,ISRN_KIND_ITCD,ISRN_KIND_SALE_NM,PROD_DTCD,PROD_ITCD,PROD_SALE_NM,ISRN_TERM_INQY_CODE,PAYM_TERM_INQY_CODE,ISRN_TERM_DVSN_CODE,ISRN_TERM,PAYM_TERM_DVSN_CODE,PAYM_TERM,MINU_MIN_AG,MINU_MAX_AG,MIN_FPIN,MAX_FPIN,FPIN_DVSN_CODE,MINU_GNDR_CODE,STAR_CTDT,END_CTDT,MIN_SPIN_STRT_AG,MAX_SPIN_STRT_AG,SPIN_STRT_AG_DVSN_CODE,AINU_MIN_AG,AINU_MAX_AG,MIN_MTPM_PREM,MAX_MTPM_PREM,CHLR_ODN1_MIN_AG,CHLR_ODN1_MAX_AG,MNTH_PAYM_YN,AINU_GNDR_CODE,MIN_PAYM_CYCL_VAL,MAX_PAYM_CYCL_VAL,PAYM_CYCL_DVSN_CODE,CHLR_ODN1_GNDR_CODE,MIN_POLR_AG,MAX_POLR_AG,CRTN_GURT_OTPY_TERM,CHLR_ODN2_MIN_AG,CHLR_ODN2_MAX_AG,MIN_DPND_AG,MAX_DPND_AG,PURT_RSTY_YN,BEFO_CNTC_MIN_ISRN_TERM,BEFO_CNTC_MAX_ISRN_TERM,BEFO_CNTC_ISRN_TERM_DVSN_CODE
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X83,X63,X,83,X,63,,,,,,,,,63,63,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X84,N5,X,84,N,5,,,,,,,,,64,64,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X84,N7,X,84,N,7,,,,,,,,,64,64,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X84,N10,X,84,N,10,,,,,,,,,64,64,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X84,N15,X,84,N,15,,,,,,,,,64,64,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X84,N20,X,84,N,20,,,,,,,,,64,64,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X84,X64,X,84,X,64,,,,,,,,,64,64,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X85,N5,X,85,N,5,,,,,,,,,65,65,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X85,N7,X,85,N,7,,,,,,,,,65,65,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X85,N10,X,85,N,10,,,,,,,,,65,65,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X85,N15,X,85,N,15,,,,,,,,,65,65,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X85,N20,X,85,N,20,,,,,,,,,65,65,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X85,X65,X,85,X,65,,,,,,,,,65,65,X,,,,,,,,,,,,,,,,,,,,,,,
1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,1772,32,한화생명 e연금저축보험 확정기간연금형(20년) 무배당,X86,N5,X,86,N,5,,,,,,,,,66,66,X,,,,,,,,,,,,,,,,,,,,,,,
